country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Lithuania,LTU,1/31/2021,93783,71764,22019,8,3667,3.45,2.64,0.81,1347,"Moderna, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,1/31/2021,12428,10748,1680,,613,1.99,1.72,0.27,979,Pfizer/BioNTech,Government of Luxembourg,https://data.public.lu/fr/datasets/r/1f6f6910-8dc4-4d17-9fbe-03bbc9664591
Maldives,MDV,1/31/2021,0,,,,,0,,,,Oxford/AstraZeneca,Presidency of the Maldives,https://twitter.com/HPA_MV/status/1357374641090789377
Malta,MLT,1/31/2021,,,,,1046,,,,2369,Pfizer/BioNTech,Ministry of Health,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/covid-19-infographics.aspx
Mexico,MEX,1/31/2021,673327,631485,41842,3020,6243,0.52,0.49,0.03,48,Pfizer/BioNTech,Secretary of Health,https://www.gob.mx/salud/prensa/version-estenografica-conferencia-de-prensa-informe-diario-sobre-coronavirus-covid-19-en-mexico-263016?idiom=es
Morocco,MAR,1/31/2021,126000,,,36000,42000,0.34,,,1138,"Oxford/AstraZeneca, Sinopharm",Ministry of Health,http://www.covidmaroc.ma/Documents/BULLETIN/4.2.21.COVID-19.pdf
Nepal,NPL,1/31/2021,,,,,18862,,,,647,Oxford/AstraZeneca,Government of Nepal,https://myrepublica.nagariknetwork.com/news/over-1-million-people-receive-covid-19-vaccine-in-nepal-so-far/
Netherlands,NLD,1/31/2021,176286,,,,4239,1.03,,,247,"Moderna, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.rijksoverheid.nl/landelijk/vaccinaties
Northern Ireland,,1/31/2021,246421,221809,24612,7497,9152,13.01,11.71,1.3,4833,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,1/31/2021,127152,107271,19881,130,6611,2.35,1.98,0.37,1219,Pfizer/BioNTech,Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Poland,POL,1/31/2021,1176904,976367,200537,19973,67061,3.11,2.58,0.53,1772,Pfizer/BioNTech,Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,1/31/2021,336771,268386,68385,6538,13398,3.3,2.63,0.67,1314,Pfizer/BioNTech,National Health Service,https://covid19.min-saude.pt/ponto-de-situacao-atual-em-portugal/
Romania,ROU,1/31/2021,691415,585218,106197,19019,35019,3.59,3.04,0.55,1820,Pfizer/BioNTech,Government of Romania,https://vaccinare-covid.gov.ro/wp-content/uploads/2021/02/04.02.21-Tabel-situatie-vaccinari-2.pdf
Saudi Arabia,SAU,1/31/2021,,,,,10385,,,,298,Pfizer/BioNTech,Saudi Health Council,https://coronamap.sa
Scotland,,1/31/2021,583746,575897,7849,9683,23258,10.68,10.54,0.14,4257,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Serbia,SRB,1/31/2021,,,,,34158,,,,5020,"Pfizer/BioNTech, Sinopharm, Sputnik V",Government of Serbia,https://www.danas.rs/drustvo/vakcinu-dobilo-526-930-gradjana-nis-i-dalje-vodeci-u-zemlji/
Seychelles,SYC,1/31/2021,,,,,2079,,,,21141,"Oxford/AstraZeneca, Sinopharm",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/1648953545305770
